date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-03-27,410,65,92,253,82.5,2025-03-27 23:30:00,2025-03-28 06:15:00,74.8,87,2,56,38,65,15.7,0.11
2025-03-28,425,70,95,260,83.8,2025-03-27 23:15:00,2025-03-28 06:30:00,76.2,82,2,55,40,63,15.5,0.06
2025-03-29,395,60,88,247,81.0,2025-03-29 23:45:00,2025-03-30 06:00:00,73.1,93,3,58,36,67,15.9,0.18
2025-03-30,430,72,96,262,84.2,2025-03-29 23:10:00,2025-03-30 06:35:00,76.8,80,1,54,41,62,15.4,0.04
2025-03-31,412,66,92,254,82.7,2025-03-30 23:25:00,2025-03-31 06:20:00,75.0,86,2,56,39,64,15.6,0.09
2025-04-01,405,64,90,251,82.0,2025-04-01 23:35:00,2025-04-02 06:10:00,74.2,89,2,57,37,66,15.8,0.13
2025-04-02,420,68,94,258,83.5,2025-04-01 23:20:00,2025-04-02 06:25:00,75.7,84,2,55,39,64,15.5,0.08
2025-04-03,418,67,93,258,83.2,2025-04-02 23:20:00,2025-04-03 06:20:00,75.4,85,2,56,38,65,15.6,0.10
2025-04-04,426,71,95,260,84.0,2025-04-03 23:15:00,2025-04-04 06:30:00,76.5,81,1,54,40,63,15.4,0.05
2025-04-05,400,62,89,249,81.5,2025-04-05 23:40:00,2025-04-06 06:05:00,73.6,91,3,57,37,66,15.8,0.16
2025-04-06,432,73,97,262,84.5,2025-04-05 23:05:00,2025-04-06 06:40:00,77.1,79,1,53,42,61,15.3,0.02
2025-04-07,415,67,93,255,83.0,2025-04-06 23:25:00,2025-04-07 06:20:00,75.3,85,2,56,39,64,15.6,0.09
2025-04-08,428,72,96,260,84.3,2025-04-07 23:10:00,2025-04-08 06:35:00,76.9,80,1,54,41,62,15.4,0.03
