date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-01-01,462,85,107,270,88.9,2025-01-01 22:45:00,2025-01-01 06:40:00,86.2,58,1,50,51,56,14.6,-0.10
2025-01-02,458,84,106,268,88.5,2025-01-01 22:55:00,2025-01-02 06:45:00,85.8,60,1,51,50,57,14.7,-0.08
2025-01-03,460,85,106,269,88.7,2025-01-02 22:50:00,2025-01-03 06:40:00,86.0,59,1,50,51,56,14.6,-0.09
2025-01-04,455,83,105,267,88.2,2025-01-03 23:00:00,2025-01-04 06:35:00,85.5,61,1,51,49,57,14.8,-0.07
2025-01-05,457,84,105,268,88.4,2025-01-04 22:55:00,2025-01-05 06:40:00,85.7,60,1,51,50,57,14.7,-0.08
2025-01-06,452,82,104,266,87.8,2025-01-05 23:05:00,2025-01-06 06:30:00,85.1,63,1,52,49,58,14.8,-0.06
2025-01-07,454,83,104,267,88.1,2025-01-06 23:00:00,2025-01-07 06:35:00,85.4,62,1,51,50,57,14.7,-0.07
2025-01-08,450,82,103,265,87.6,2025-01-07 23:10:00,2025-01-08 06:25:00,84.9,63,1,52,48,58,14.9,-0.05
2025-01-09,448,81,103,264,87.3,2025-01-08 23:15:00,2025-01-09 06:20:00,84.6,65,1,52,48,58,14.9,-0.04
2025-01-10,445,80,102,263,87.0,2025-01-09 23:20:00,2025-01-10 06:15:00,84.3,67,1,53,47,59,15.0,-0.03
2025-01-11,446,81,102,263,87.1,2025-01-10 23:15:00,2025-01-11 06:15:00,84.4,66,1,52,47,58,14.9,-0.04
2025-01-12,442,79,101,262,86.7,2025-01-11 23:25:00,2025-01-12 06:10:00,84.0,68,1,53,46,59,15.0,-0.01
2025-01-13,444,80,102,262,86.9,2025-01-12 23:20:00,2025-01-13 06:15:00,84.2,67,1,53,47,59,15.0,-0.02
2025-01-14,440,79,101,260,86.5,2025-01-13 23:25:00,2025-01-14 06:10:00,83.8,69,2,53,46,59,15.1,0.00
2025-01-15,438,78,100,260,86.2,2025-01-14 23:30:00,2025-01-15 06:05:00,83.5,70,2,54,45,60,15.1,0.01
2025-01-16,435,77,100,258,85.9,2025-01-15 23:35:00,2025-01-16 06:00:00,83.2,72,2,54,45,60,15.2,0.02
2025-01-17,437,78,100,259,86.1,2025-01-16 23:30:00,2025-01-17 06:05:00,83.4,71,2,54,45,60,15.1,0.01
2025-01-18,432,76,99,257,85.6,2025-01-17 23:40:00,2025-01-18 05:55:00,82.9,73,2,55,44,61,15.2,0.04
2025-01-19,430,76,98,256,85.3,2025-01-18 23:45:00,2025-01-19 05:50:00,82.6,74,2,55,44,61,15.3,0.05
2025-01-20,428,75,98,255,85.1,2025-01-19 23:50:00,2025-01-20 05:45:00,82.4,75,2,55,43,61,15.3,0.06
2025-01-21,425,74,97,254,84.8,2025-01-20 23:55:00,2025-01-21 05:40:00,82.1,76,2,56,43,62,15.4,0.07
2025-01-22,427,75,98,254,85.0,2025-01-21 23:50:00,2025-01-22 05:45:00,82.3,75,2,55,43,61,15.3,0.06
2025-01-23,422,74,96,252,84.5,2025-01-22 00:00:00,2025-01-23 05:35:00,81.8,78,2,56,42,62,15.4,0.09
2025-01-24,420,73,96,251,84.2,2025-01-23 00:05:00,2025-01-24 05:30:00,81.5,79,2,56,42,62,15.5,0.10
2025-01-25,417,72,95,250,83.9,2025-01-24 00:10:00,2025-01-25 05:25:00,81.2,80,2,57,41,63,15.5,0.11
2025-01-26,415,72,95,248,83.7,2025-01-25 00:15:00,2025-01-26 05:20:00,81.0,81,2,57,41,63,15.6,0.12
2025-01-27,412,71,94,247,83.4,2025-01-26 00:20:00,2025-01-27 05:15:00,80.7,82,3,57,40,63,15.6,0.13
2025-01-28,410,70,94,246,83.1,2025-01-27 00:25:00,2025-01-28 05:10:00,80.4,84,3,58,40,64,15.7,0.15
2025-01-29,407,69,93,245,82.8,2025-01-28 00:30:00,2025-01-29 05:05:00,80.1,85,3,58,39,64,15.7,0.16
2025-01-30,405,69,92,244,82.6,2025-01-29 00:35:00,2025-01-30 05:00:00,79.9,86,3,58,39,64,15.8,0.17
2025-01-31,402,68,92,242,82.3,2025-01-30 00:40:00,2025-01-31 04:55:00,79.6,87,3,59,38,65,15.8,0.18
2025-02-01,400,67,91,242,82.0,2025-01-31 00:45:00,2025-02-01 04:50:00,79.3,88,3,59,38,65,15.9,0.20
2025-02-02,397,66,91,240,81.7,2025-02-01 00:50:00,2025-02-02 04:45:00,79.0,89,3,59,37,65,15.9,0.21
2025-02-03,395,66,90,239,81.5,2025-02-02 00:55:00,2025-02-03 04:40:00,78.8,90,3,60,37,66,16.0,0.22
2025-02-04,392,65,89,238,81.2,2025-02-03 01:00:00,2025-02-04 04:35:00,78.5,91,3,60,36,66,16.0,0.23
2025-02-05,390,64,89,237,80.9,2025-02-04 01:05:00,2025-02-05 04:30:00,78.2,93,3,60,36,66,16.1,0.25
2025-02-06,387,63,88,236,80.6,2025-02-05 01:10:00,2025-02-06 04:25:00,77.9,94,3,61,35,67,16.1,0.26
2025-02-07,385,63,88,234,80.4,2025-02-06 01:15:00,2025-02-07 04:20:00,77.7,95,3,61,35,67,16.2,0.27
2025-02-08,382,62,87,233,80.1,2025-02-07 01:20:00,2025-02-08 04:15:00,77.4,96,4,61,34,67,16.2,0.28
2025-02-09,380,61,87,232,79.8,2025-02-08 01:25:00,2025-02-09 04:10:00,77.1,97,4,62,34,68,16.3,0.30
2025-02-10,377,60,86,231,79.5,2025-02-09 01:30:00,2025-02-10 04:05:00,76.8,98,4,62,33,68,16.3,0.31
2025-02-11,375,60,85,230,79.3,2025-02-10 01:35:00,2025-02-11 04:00:00,76.6,99,4,62,33,68,16.4,0.32
2025-02-12,372,59,85,228,79.0,2025-02-11 01:40:00,2025-02-12 03:55:00,76.3,100,4,63,32,69,16.4,0.33
2025-02-13,370,58,84,228,78.7,2025-02-12 01:45:00,2025-02-13 03:50:00,76.0,101,4,63,32,69,16.5,0.35
2025-02-14,367,57,84,226,78.4,2025-02-13 01:50:00,2025-02-14 03:45:00,75.7,103,4,63,31,69,16.5,0.36
2025-02-15,365,57,83,225,78.2,2025-02-14 01:55:00,2025-02-15 03:40:00,75.5,104,4,64,31,70,16.6,0.37
2025-02-16,362,56,82,224,77.9,2025-02-15 02:00:00,2025-02-16 03:35:00,75.2,105,4,64,30,70,16.6,0.38
2025-02-17,360,55,82,223,77.6,2025-02-16 02:05:00,2025-02-17 03:30:00,74.9,106,4,64,30,70,16.7,0.40
2025-02-18,357,54,81,222,77.3,2025-02-17 02:10:00,2025-02-18 03:25:00,74.6,108,4,65,29,71,16.7,0.41
2025-02-19,355,54,81,220,77.1,2025-02-18 02:15:00,2025-02-19 03:20:00,74.4,109,4,65,29,71,16.8,0.42
2025-02-20,352,53,80,219,76.8,2025-02-19 02:20:00,2025-02-20 03:15:00,74.1,110,5,65,28,71,16.8,0.43
2025-02-21,350,52,80,218,76.5,2025-02-20 02:25:00,2025-02-21 03:10:00,73.8,111,5,66,28,72,16.9,0.45
2025-02-22,347,51,79,217,76.2,2025-02-21 02:30:00,2025-02-22 03:05:00,73.5,113,5,66,27,72,16.9,0.46
2025-02-23,345,51,78,216,76.0,2025-02-22 02:35:00,2025-02-23 03:00:00,73.3,114,5,66,27,72,17.0,0.47
2025-02-24,342,50,78,214,75.7,2025-02-23 02:40:00,2025-02-24 02:55:00,73.0,115,5,67,26,73,17.0,0.48
2025-02-25,340,49,77,214,75.4,2025-02-24 02:45:00,2025-02-25 02:50:00,72.7,116,5,67,26,73,17.1,0.50
2025-02-26,337,48,77,212,75.1,2025-02-25 02:50:00,2025-02-26 02:45:00,72.4,118,5,67,25,73,17.1,0.51
2025-02-27,335,48,76,211,74.9,2025-02-26 02:55:00,2025-02-27 02:40:00,72.2,119,5,68,25,74,17.2,0.52
2025-02-28,332,47,75,210,74.6,2025-02-27 03:00:00,2025-02-28 02:35:00,71.9,120,5,68,24,74,17.2,0.53
2025-03-01,330,46,75,209,74.3,2025-02-28 03:05:00,2025-03-01 02:30:00,71.6,121,5,68,24,74,17.3,0.55
2025-03-02,327,45,74,208,74.0,2025-03-01 03:10:00,2025-03-02 02:25:00,71.3,123,6,69,23,75,17.3,0.56
2025-03-03,325,45,74,206,73.8,2025-03-02 03:15:00,2025-03-03 02:20:00,71.1,124,6,69,23,75,17.4,0.57
2025-03-04,322,44,73,205,73.5,2025-03-03 03:20:00,2025-03-04 02:15:00,70.8,125,6,69,22,75,17.4,0.58
2025-03-05,320,43,73,204,73.2,2025-03-04 03:25:00,2025-03-05 02:10:00,70.5,126,6,70,22,76,17.5,0.60
2025-03-06,318,43,72,203,73.0,2025-03-05 03:30:00,2025-03-06 02:05:00,70.3,128,6,70,21,76,17.5,0.61
2025-03-07,315,42,71,202,72.7,2025-03-06 03:35:00,2025-03-07 02:00:00,70.0,129,6,70,21,76,17.6,0.62
2025-03-08,313,41,71,201,72.4,2025-03-07 03:40:00,2025-03-08 01:55:00,69.7,130,6,71,20,77,17.6,0.63
2025-03-09,310,40,70,200,72.1,2025-03-08 03:45:00,2025-03-09 01:50:00,69.4,132,6,71,20,77,17.7,0.65
2025-03-10,308,40,70,198,71.9,2025-03-09 03:50:00,2025-03-10 01:45:00,69.2,133,6,71,19,77,17.7,0.66
2025-03-11,305,39,69,197,71.6,2025-03-10 03:55:00,2025-03-11 01:40:00,68.9,134,6,72,19,78,17.8,0.67
2025-03-12,303,38,69,196,71.3,2025-03-11 04:00:00,2025-03-12 01:35:00,68.6,136,7,72,18,78,17.8,0.68
2025-03-13,300,37,68,195,71.0,2025-03-12 04:05:00,2025-03-13 01:30:00,68.3,137,7,72,18,78,17.9,0.70
2025-03-14,298,37,67,194,70.8,2025-03-13 04:10:00,2025-03-14 01:25:00,68.1,138,7,73,17,79,17.9,0.71
2025-03-15,295,36,67,192,70.5,2025-03-14 04:15:00,2025-03-15 01:20:00,67.8,140,7,73,17,79,18.0,0.72
2025-03-16,293,35,66,192,70.2,2025-03-15 04:20:00,2025-03-16 01:15:00,67.5,141,7,73,16,79,18.0,0.73
2025-03-17,290,34,66,190,69.9,2025-03-16 04:25:00,2025-03-17 01:10:00,67.2,142,7,74,16,80,18.1,0.75
2025-03-18,288,34,65,189,69.7,2025-03-17 04:30:00,2025-03-18 01:05:00,67.0,144,7,74,15,80,18.1,0.76
2025-03-19,285,33,64,188,69.4,2025-03-18 04:35:00,2025-03-19 01:00:00,66.7,145,7,74,15,80,18.2,0.77
