date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-01-01,444,96,115,233,91.1,2024-12-31 22:59:00,2025-01-01 07:07:00,91,44,2,50,52,54,14.3,-0.01
2025-01-02,446,90,111,245,89.7,2024-12-31 22:29:00,2025-01-01 07:26:00,89.5,51,2,49,53,53,14.7,-0.1
2025-01-03,487,98,118,271,92.1,2025-01-02 22:42:00,2025-01-03 07:11:00,92.7,42,1,51,51,55,14.2,-0.08
2025-01-04,476,94,117,265,91.2,2025-01-03 22:46:00,2025-01-04 07:15:00,91.6,46,2,49,53,53,14.4,-0.2
2025-01-05,464,97,113,254,91.7,2025-01-04 23:52:00,2025-01-05 07:38:00,91.5,42,1,50,53,54,14.5,-0.03
2025-01-06,400,83,92,225,87.9,2025-01-05 23:29:00,2025-01-06 06:54:00,85.8,55,2,50,50,54,14.6,0.01
2025-01-07,434,86,107,241,89.2,2025-01-06 22:41:00,2025-01-07 07:09:00,88.7,53,2,50,52,54,14.5,-0.12
2025-01-08,483,98,116,269,91.9,2025-01-07 22:38:00,2025-01-08 07:13:00,92.3,43,1,48,54,53,14.3,-0.22
2025-01-09,447,93,110,244,90.3,2025-01-08 22:32:00,2025-01-09 07:07:00,90.3,48,1,49,54,53,14.5,-0.19
2025-01-10,360,59,66,235,81.5,2025-01-09 23:18:00,2025-01-10 05:58:00,75.7,82,3,52,46,56,14.8,0.09
2025-01-11,432,86,104,242,89.1,2025-01-10 23:45:00,2025-01-11 07:40:00,87.9,53,2,51,50,55,14.6,-0.15
2025-01-12,479,96,119,264,91.8,2025-01-11 23:28:00,2025-01-12 08:02:00,92.1,43,1,48,55,53,14.2,-0.07
2025-01-13,449,91,111,247,90.2,2025-01-12 22:51:00,2025-01-13 07:10:00,90.1,49,1,49,52,53,14.7,-0.17
2025-01-14,435,88,105,242,89.1,2025-01-13 22:38:00,2025-01-14 07:06:00,88.8,53,2,50,51,54,14.5,-0.03
2025-01-15,453,93,110,250,90.7,2025-01-14 22:40:00,2025-01-15 07:20:00,90.7,46,1,49,53,53,14.3,-0.11
2025-01-16,429,85,102,242,88.7,2025-01-15 22:47:00,2025-01-16 07:12:00,88.1,55,2,51,49,55,14.8,-0.06
2025-01-17,465,95,113,257,91.1,2025-01-16 22:39:00,2025-01-17 07:29:00,91.2,45,1,48,54,52,14.1,-0.14
2025-01-18,481,97,116,268,91.5,2025-01-17 23:42:00,2025-01-18 08:17:00,91.8,45,1,47,55,51,14.2,-0.19
2025-01-19,489,99,123,267,92.3,2025-01-18 23:38:00,2025-01-19 08:15:00,93.2,41,0,46,57,50,14.0,-0.21
2025-01-20,447,91,106,250,90.1,2025-01-19 22:37:00,2025-01-20 07:13:00,89.9,49,1,50,52,54,14.5,-0.04
2025-01-21,432,89,102,241,89.4,2025-01-20 22:36:00,2025-01-21 07:01:00,89.2,51,2,49,51,53,14.6,-0.08
2025-01-22,461,94,116,251,91.2,2025-01-21 22:47:00,2025-01-22 07:23:00,91.3,44,1,48,55,52,14.3,-0.17
2025-01-23,438,90,101,247,89.5,2025-01-22 22:51:00,2025-01-23 07:16:00,89.3,51,2,49,52,53,14.6,-0.05
2025-01-24,459,93,112,254,90.8,2025-01-23 22:43:00,2025-01-24 07:18:00,90.9,46,1,48,54,52,14.4,-0.13
2025-01-25,472,95,114,263,91.4,2025-01-24 23:37:00,2025-01-25 08:04:00,91.5,44,1,47,55,51,14.2,-0.16
2025-01-26,485,98,121,266,92.1,2025-01-25 23:42:00,2025-01-26 08:08:00,92.9,42,0,46,56,50,14.1,-0.22
2025-01-27,443,89,105,249,89.8,2025-01-26 22:39:00,2025-01-27 07:12:00,89.5,50,1,50,51,54,14.7,-0.09
