date,Total Sleep Duration,Deep Sleep Duration,REM Sleep Duration,Light Sleep Duration,Sleep Efficiency,Bedtime Start,Bedtime End,Sleep Score,Awake Time,Restless Sleep,Lowest Resting Heart Rate,Average HRV,Average Resting Heart Rate,Respiratory Rate,Temperature Deviation (°C)
2025-01-01,344,31,31,282,71.9,2025-01-01 00:20:00,2025-01-01 08:18:00,72,135,5,68,28,72,16.2,0.03
2025-01-02,305,27,30,248,68.3,2025-01-02 00:47:00,2025-01-02 08:14:00,65.4,142,6,69,25,73,16.5,0.41
2025-01-03,321,34,38,249,70.2,2025-01-03 00:38:00,2025-01-03 08:14:00,68.8,136,5,69,26,73,16.4,0.3
2025-01-04,368,44,56,268,76.5,2025-01-03 23:56:00,2025-01-04 08:37:00,76.9,113,3,64,33,68,16.1,0.21
2025-01-05,379,47,58,274,77.9,2025-01-04 23:51:00,2025-01-05 08:37:00,78.5,107,3,63,34,67,16.0,0.18
2025-01-06,334,35,40,259,71.8,2025-01-06 00:27:00,2025-01-06 08:12:00,70.4,131,5,67,29,71,16.3,0.34
2025-01-07,319,32,37,250,69.8,2025-01-07 00:41:00,2025-01-07 08:17:00,67.9,138,5,70,25,74,16.6,0.44
2025-01-08,310,29,32,249,68.6,2025-01-08 00:53:00,2025-01-08 08:25:00,65.9,142,6,71,24,75,16.7,0.48
2025-01-09,325,34,39,252,70.5,2025-01-09 00:35:00,2025-01-09 08:15:00,69.2,136,5,68,27,72,16.4,0.37
2025-01-10,358,40,48,270,75.1,2025-01-09 00:07:00,2025-01-10 08:04:00,75.3,119,4,66,31,70,16.2,0.25
2025-01-11,374,45,57,272,77.2,2025-01-10 23:54:00,2025-01-11 08:39:00,77.7,110,3,65,32,69,16.1,0.2
2025-01-12,382,47,60,275,78.3,2025-01-11 23:48:00,2025-01-12 08:40:00,79.1,106,3,62,35,66,15.9,0.15
2025-01-13,337,36,41,260,72.2,2025-01-13 00:23:00,2025-01-13 08:10:00,70.9,129,5,67,29,71,16.3,0.32
2025-01-14,322,33,37,252,70.1,2025-01-14 00:39:00,2025-01-14 08:18:00,68.5,137,5,69,26,73,16.5,0.42
